"","participant","univ","vote","confident","comment","id","question"
"36","larry samuelson","Yale","Agree","8","Coming to a precise numbers is always difficult, but the concept is quite useful in thinking about our economy.<br>",1,1
"37","jose scheinkman","Princeton","Agree","5","enough is the operative word<br>",1,1
"38","richard schmalensee","MIT","Agree","3","Not sure it is very useful at all times, though.<br>",1,1
"39","carl shapiro","Berkeley","Did Not Answer","","",1,1
"40","robert shimer","Chicago","Agree","7","",1,1
"41","richard thaler","Chicago","Uncertain","1","The concept is clear enough but who knows how to measure it?<br>",1,1
"42","christopher udry","Yale","No Opinion","","",1,1
"43","daron acemoglu","MIT","Uncertain","5","The concept doesn't make sense. But of course we have policy options to increase efficiency in the labor market and employment. Lots of them<br>",1,2
"44","alberto alesina","Harvard","Uncertain","8","",1,2
"45","joseph altonji","Yale","Agree","5","",1,2
"46","alan auerbach","Berkeley","Disagree","3","",1,2
"47","david autor","MIT","Strongly Agree","8","Unemployment is down, which is great, but labor force participation still has a lot of headroom to rise. <br>",1,2
"48","katherine baicker","Chicago","Uncertain","1","",1,2
"49","abhijit banerjee","MIT","No Opinion","","",1,2
"50","marianne bertrand","Chicago","No Opinion","","",1,2
"51","markus brunnermeier","Princeton","Uncertain","8","",1,2
"52","raj chetty","Stanford","Did Not Answer","","",1,2
"53","judith chevalier","Yale","Uncertain","5","",1,2
"54","david cutler","Harvard","Agree","4","",1,2
"55","angus deaton","Princeton","Strongly Agree","8","",1,2
"56","darrell duffie","Stanford","Uncertain","4","",1,2
"57","aaron edlin","Berkeley","Did Not Answer","","",1,2
"58","barry eichengreen","Berkeley","Uncertain","6","Debate continues about whether currently discouraged workers are permanently discouraged, but I think views are converging.<br>",1,2
"59","liran einav","Stanford","No Opinion","","",1,2
"60","ray fair","Yale","No Opinion","","Given that I disagree regarding the first question, the second question is not meaningful. <br>",1,2
"61","amy finkelstein","MIT","Uncertain","1","",1,2
"62","pinelopi goldberg","Yale","Did Not Answer","","",1,2
"63","austan goolsbee","Chicago","Uncertain","1","",1,2
"64","michael greenstone","Chicago","Agree","3","",1,2
"65","robert hall","Stanford","Uncertain","9","Until the next shock occurs, unemployment will continue to drift downward. The u rate in 1999 in MSP was 0.9 percent without dysfunction.<br>",1,2
"66","oliver hart","Harvard","Uncertain","5","",1,2
"67","bengt holmstrom","MIT","Uncertain","4","",1,2
"68","caroline hoxby","Stanford","No Opinion","","Having said that ""maximum sustainable employment"" is only loosely grounded in economics, I obviously cannot say whether we are at it or not.<br>",1,2
"69","hilary hoynes","Berkeley","Agree","6","",1,2
"70","kenneth judd","Stanford","Disagree","7","The last time we had sustained unemployment rate below 4% was 66-69, the peak of the Viet Nam war.<br>",1,2
"71","steven kaplan","Chicago","Agree","8","Labor force participation, particularly for men, could be higher.<br>",1,2
"72","anil kashyap","Chicago","Uncertain","7","maybe, but if i had to bet we are about there. <br>",1,2
"73","pete klenow","Stanford","Uncertain","5","<a href=""https://www.frbsf.org/economic-research/publications/economic-letter/2017/november/problems-predicting-potential-output/"" target=""_blank-see background information here</a><br>",1,2
"74","jonathan levin","Stanford","Did Not Answer","","",1,2
"75","eric maskin","Harvard","Agree","6","",1,2
"76","william nordhaus","Yale","Disagree","9","Probably above, perhaps at, but clearly not below by Fed¡¯s own estimates.<br>",1,2
"77","emmanuel saez","Berkeley","Disagree","6","",1,2
"78","larry samuelson","Yale","Disagree","6","We might aspire to a higher labor force participation rate, but there is little evidence we can push the unemployment rates markedly lower.<br>",1,2
"79","jose scheinkman","Princeton","No Opinion","","",1,2
"80","richard schmalensee","MIT","Uncertain","5","Different indicators seem to be sending mixed signals.<br>",1,2
"81","carl shapiro","Berkeley","Did Not Answer","","",1,2
"82","robert shimer","Chicago","Uncertain","1","",1,2
"83","richard thaler","Chicago","Agree","1","labor force participation rate down and little wage pressure suggests room to grow the labor force.<br>",1,2
"84","christopher udry","Yale","No Opinion","","",1,2
"85","daron acemoglu","MIT","Uncertain","6","The simplification of the tax code could be beneficial, but it is more than offset by its highly regressive nature.<br>",2,1
"86","alberto alesina","Harvard","Did Not Answer","","",2,1
"87","joseph altonji","Yale","Did Not Answer","","",2,1
"88","alan auerbach","Berkeley","Uncertain","7","",2,1
"89","david autor","MIT","Disagree","5","Tax policy appears to have little effect at the margin on GDP growth in OECD countries. <br>",2,1
"90","katherine baicker","Chicago","Did Not Answer","","",2,1
"91","abhijit banerjee","MIT","Disagree","7","",2,1
"92","marianne bertrand","Chicago","Uncertain","5","",2,1
"93","markus brunnermeier","Princeton","Uncertain","3","It is more likely that GDP will be somewhat higher<br>",2,1
"94","raj chetty","Stanford","Disagree","9","",2,1
"95","judith chevalier","Yale","Disagree","5","",2,1
"96","david cutler","Harvard","Strongly Disagree","5","",2,1
"97","angus deaton","Princeton","Strongly Disagree","7","",2,1
"98","darrell duffie","Stanford","Agree","5","A reduced corporate tax reduction is likely to grow GDP. Whether the overall tax plan is distributionally fair is another matter. <br>",2,1
"99","aaron edlin","Berkeley","Disagree","7","",2,1
"100","barry eichengreen","Berkeley","Strongly Disagree","8","",2,1
"101","liran einav","Stanford","Uncertain","1","",2,1
"102","ray fair","Yale","Uncertain","5","",2,1
"103","amy finkelstein","MIT","Disagree","8","",2,1
"104","pinelopi goldberg","Yale","Uncertain","5","",2,1
"105","austan goolsbee","Chicago","Strongly Disagree","10","Of course not. Does anyone care about actual evidence anymore? <br>",2,1
"106","michael greenstone","Chicago","Disagree","5","",2,1
"107","robert hall","Stanford","Uncertain","3","Though there is merit in cutting the corp tax and other capital taxes, with no other changes in policy, the fed gov will collapse.<br>",2,1
"108","oliver hart","Harvard","Uncertain","5","The incentive effects are unclear to me. Some of the simplifications make sense but many of the changes look like hand-outs to the rich.<br>",2,1
"109","bengt holmstrom","MIT","Uncertain","6","",2,1
"110","caroline hoxby","Stanford","Did Not Answer","","",2,1
"111","hilary hoynes","Berkeley","Disagree","8","",2,1
"112","kenneth judd","Stanford","Uncertain","7","",2,1
"113","steven kaplan","Chicago","Uncertain","8","",2,1
"114","anil kashyap","Chicago","Disagree","1","doubt it will substantially change things either way<br>",2,1
"115","pete klenow","Stanford","Uncertain","4","Expensing of investment would provide a bigger boost to the capital stock and GDP 10 years from now, per dollar of revenue lost.<br>",2,1
"116","jonathan levin","Stanford","Uncertain","3","",2,1
"117","eric maskin","Harvard","Uncertain","6","",2,1
"118","william nordhaus","Yale","Disagree","5","Keynesian effect will have disappeared. Higher debt will probably outweigh lower corporate tax rates. Unlikely that nothing else will change<br>",2,1
"119","emmanuel saez","Berkeley","Disagree","8","",2,1
"120","larry samuelson","Yale","Strongly Disagree","8","Other factors swamp the importance of details of the tax code in determining GDP.<br>",2,1
"121","jose scheinkman","Princeton","Disagree","6","",2,1
"122","richard schmalensee","MIT","Strongly Disagree","5","",2,1
"123","carl shapiro","Berkeley","Strongly Disagree","8","",2,1
"124","robert shimer","Chicago","Disagree","7","",2,1
"125","richard thaler","Chicago","Disagree","3","Aside from the redistribution of wealth, hard to see this changing much.<br>",2,1
"126","christopher udry","Yale","Strongly Disagree","5","",2,1
"127","daron acemoglu","MIT","Strongly Agree","8","How could it be otherwise?<br>",2,2
"128","alberto alesina","Harvard","Did Not Answer","","",2,2
"129","joseph altonji","Yale","Did Not Answer","","",2,2
"130","alan auerbach","Berkeley","Agree","7","",2,2
"131","david autor","MIT","Strongly Agree","8","Since growth is likely to be little affected, debt to GDP will rise substantially, absent offsetting policies -- which are rarely enacted<br>",2,2
"132","katherine baicker","Chicago","Did Not Answer","","",2,2
"133","abhijit banerjee","MIT","Agree","7","",2,2
"134","marianne bertrand","Chicago","Agree","5","",2,2
"135","markus brunnermeier","Princeton","Agree","8","",2,2
"136","raj chetty","Stanford","Agree","9","",2,2
"137","judith chevalier","Yale","Agree","7","",2,2
"138","david cutler","Harvard","Strongly Agree","9","",2,2
"139","angus deaton","Princeton","Strongly Agree","7","",2,2
"140","darrell duffie","Stanford","Strongly Agree","5","By design, the plan increases debt by $1.5 trillion, net of increased-revenue effects. That seems to imply that debt to GDP will rise. <br>",2,2
"141","aaron edlin","Berkeley","Agree","8","",2,2
"142","barry eichengreen","Berkeley","Agree","8","",2,2
"143","liran einav","Stanford","Uncertain","1","",2,2
"144","ray fair","Yale","Strongly Agree","7","",2,2
"145","amy finkelstein","MIT","Strongly Agree","8","",2,2
"146","pinelopi goldberg","Yale","Agree","5","",2,2
"147","austan goolsbee","Chicago","Strongly Agree","10","Cut taxes. Lose money. Repeat.<br>",2,2
"148","michael greenstone","Chicago","Agree","5","",2,2
"149","robert hall","Stanford","Strongly Agree","8","Spending is on a relentless increase relative to revenue. Within 10 years, the fed gov will lose access to credit.<br>",2,2
"150","oliver hart","Harvard","Agree","7","It seems unlikely that the optimistic growth figures are correct and so the budget deficit will rise unless government cuts are made.<br>",2,2
"151","bengt holmstrom","MIT","Strongly Agree","4","",2,2
"152","caroline hoxby","Stanford","Did Not Answer","","",2,2
"153","hilary hoynes","Berkeley","Strongly Agree","8","",2,2
"154","kenneth judd","Stanford","Strongly Agree","8","",2,2
"155","steven kaplan","Chicago","Agree","3","",2,2
"156","anil kashyap","Chicago","Agree","5","especially worry about the lost revenue from the pass-through loopholes<br><a href=""http://www.ericzwick.com/capitalists/capitalists.pdf%20"" target=""_blank-see background information here</a><br>",2,2
"157","pete klenow","Stanford","Strongly Agree","6","",2,2
"158","jonathan levin","Stanford","Agree","4","",2,2
"159","eric maskin","Harvard","Agree","7","",2,2
"160","william nordhaus","Yale","Strongly Agree","9","This is at least is clear. No way the growth effects will be strong enough to offset the revenue losses.<br>",2,2
"161","emmanuel saez","Berkeley","Strongly Agree","9","",2,2
"162","larry samuelson","Yale","Strongly Agree","8","The prospect of 5% GDP growth is absurdly unrealistic, and in its absence everyone agrees the proposed tax reform will contribute to debt.<br>",2,2
"163","jose scheinkman","Princeton","Agree","5","Provided one agrees that an increase in debt of 5 to 10 percentage points of GDP is substantial.<br>",2,2
"164","richard schmalensee","MIT","Strongly Agree","5","",2,2
"165","carl shapiro","Berkeley","Strongly Agree","10","",2,2
"166","robert shimer","Chicago","Strongly Agree","8","",2,2
"167","richard thaler","Chicago","Agree","6","",2,2
"168","christopher udry","Yale","Agree","7","",2,2
"169","daron acemoglu","MIT","Strongly Disagree","7","",3,1
"170","alberto alesina","Harvard","Disagree","4","",3,1
"171","joseph altonji","Yale","Strongly Disagree","7","",3,1
"172","alan auerbach","Berkeley","Strongly Disagree","9","",3,1
"173","david autor","MIT","Uncertain","1","",3,1
"174","katherine baicker","Chicago","Disagree","1","",3,1
"175","abhijit banerjee","MIT","Strongly Disagree","7","",3,1
"176","marianne bertrand","Chicago","Disagree","5","",3,1
"177","markus brunnermeier","Princeton","Did Not Answer","","",3,1
"178","raj chetty","Stanford","Did Not Answer","","",3,1
"179","judith chevalier","Yale","Strongly Disagree","5","",3,1
"180","david cutler","Harvard","Did Not Answer","","",3,1
"181","angus deaton","Princeton","Agree","3","",3,1
"182","darrell duffie","Stanford","Strongly Disagree","9","Fiscal measures (e.g. TARP) can and often do reduce the severity of recessions.<br>",3,1
"183","aaron edlin","Berkeley","Disagree","8","",3,1
"184","barry eichengreen","Berkeley","Disagree","5","",3,1
"185","liran einav","Stanford","Disagree","2","",3,1
"186","ray fair","Yale","Strongly Disagree","10","",3,1
"187","amy finkelstein","MIT","Strongly Disagree","6","",3,1
"188","pinelopi goldberg","Yale","Strongly Disagree","5","",3,1
"189","austan goolsbee","Chicago","Strongly Disagree","10","Pistol. Foot. Bang.<br>",3,1
"190","michael greenstone","Chicago","Disagree","7","is this a trick question?<br>",3,1
"191","robert hall","Stanford","Disagree","6","In principle, an optimizing government runs a deficit to smooth taxes when a recession occurs. That's no excuse for the current deficit.<br>",3,1
"192","oliver hart","Harvard","Strongly Disagree","10","Fiscal stimulus can be useful sometimes. Straight-jacketing the government is a mistake. Also I don't see how it would be enforced.<br>",3,1
"193","bengt holmstrom","MIT","Disagree","4","",3,1
"194","caroline hoxby","Stanford","Did Not Answer","","",3,1
"195","hilary hoynes","Berkeley","Strongly Disagree","9","",3,1
"196","kenneth judd","Stanford","Strongly Disagree","8","Eliminating countercyclical spending does not seem like a good idea for reducing output fluctuations.<br>",3,1
"197","steven kaplan","Chicago","Disagree","4","",3,1
"198","anil kashyap","Chicago","Disagree","5","",3,1
"199","pete klenow","Stanford","Strongly Disagree","8","<a href=""http://people.bu.edu/amckay/pdfs/autostab.pdf"" target=""_blank-see background information here</a><br>",3,1
"200","jonathan levin","Stanford","Disagree","4","",3,1
"201","eric maskin","Harvard","Disagree","7","",3,1
"202","william nordhaus","Yale","Strongly Disagree","9","Turning off automatic stabilizers increases volatility.<br>",3,1
"203","emmanuel saez","Berkeley","Strongly Disagree","8","",3,1
"204","larry samuelson","Yale","Disagree","6","Requiring budget balance would upend current operating procedure, with effects too uncertain to predict reduced output variability. <br>",3,1
"205","jose scheinkman","Princeton","Strongly Disagree","8","",3,1
"206","richard schmalensee","MIT","Strongly Disagree","7","",3,1
"207","carl shapiro","Berkeley","Strongly Disagree","8","",3,1
"208","robert shimer","Chicago","Strongly Disagree","8","Arguably it would substantially increase output variability<br>",3,1
"209","richard thaler","Chicago","Strongly Disagree","6","",3,1
"210","christopher udry","Yale","Strongly Disagree","2","",3,1
"211","daron acemoglu","MIT","Disagree","5","There might be an effect on cost of borrowing, but unlikely to be ""substantial"".<br>",3,2
"212","alberto alesina","Harvard","Uncertain","3","",3,2
"213","joseph altonji","Yale","Strongly Agree","7","",3,2
"214","alan auerbach","Berkeley","Uncertain","3","",3,2
"215","david autor","MIT","Uncertain","1","",3,2
"216","katherine baicker","Chicago","Uncertain","1","",3,2
"217","abhijit banerjee","MIT","Strongly Disagree","7","",3,2
"218","marianne bertrand","Chicago","Agree","3","",3,2
"219","markus brunnermeier","Princeton","Did Not Answer","","",3,2
"220","raj chetty","Stanford","Did Not Answer","","",3,2
"221","judith chevalier","Yale","Uncertain","3","",3,2
"222","david cutler","Harvard","Did Not Answer","","",3,2
"223","angus deaton","Princeton","Agree","6","",3,2
"224","darrell duffie","Stanford","Uncertain","9","Starting with no debt, this would be true by definition (although it would be bad policy). Starting with a lot of debt, this could backfire.<br>",3,2
"225","aaron edlin","Berkeley","Disagree","7","",3,2
"226","barry eichengreen","Berkeley","Disagree","5","",3,2
"227","liran einav","Stanford","Uncertain","1","",3,2
"228","ray fair","Yale","Agree","5","",3,2
"229","amy finkelstein","MIT","Disagree","3","",3,2
"230","pinelopi goldberg","Yale","Strongly Disagree","5","",3,2
"231","austan goolsbee","Chicago","Strongly Disagree","10","If we were dumb enough to force ourselves to cut spending/raise taxes in the middle of recessions, who¡¯s to say world wouldn¡¯t RAISE rates?<br>",3,2
"232","michael greenstone","Chicago","Agree","1","seems mechanically true but could there be an effect on growth?<br>",3,2
"233","robert hall","Stanford","Agree","6","The gov is way down the path of disappearance of a market for its debt, with the highest peacetime deficit/GDP ever.<br>",3,2
"234","oliver hart","Harvard","Disagree","6","Suppose the government spends and borrows less. This might raise interest rates if consumers spend more to offset critical services.<br>",3,2
"235","bengt holmstrom","MIT","Agree","6","",3,2
"236","caroline hoxby","Stanford","Did Not Answer","","",3,2
"237","hilary hoynes","Berkeley","No Opinion","","",3,2
"238","kenneth judd","Stanford","Disagree","8","Lenders care about the reputation of the borrower to pay its obligations, not deficits.<br>",3,2
"239","steven kaplan","Chicago","Uncertain","4","",3,2
"240","anil kashyap","Chicago","Disagree","5","",3,2
"241","pete klenow","Stanford","Disagree","3","<a href=""http://www.sciencedirect.com/science/article/pii/S0304393213000585"" target=""_blank-see background information here</a><br>",3,2
"242","jonathan levin","Stanford","Uncertain","4","A lot would depend on implementation.<br>",3,2
"243","eric maskin","Harvard","Disagree","7","",3,2
"244","william nordhaus","Yale","Uncertain","6","Fiscal impact lowers interest rates, but turmoil impact would raise. Net impact unclear.<br>",3,2
"245","emmanuel saez","Berkeley","Strongly Disagree","7","",3,2
"246","larry samuelson","Yale","Disagree","6","Excessive debt can drive up borrowing costs, but it is not clear that current costs are vastly higher than they would be with budget balance<br>",3,2
"247","jose scheinkman","Princeton","Uncertain","5","",3,2
"248","richard schmalensee","MIT","Disagree","5","",3,2
"249","carl shapiro","Berkeley","Agree","6","",3,2
"250","robert shimer","Chicago","Uncertain","5","",3,2
"251","richard thaler","Chicago","Strongly Disagree","7","Better idea. Amend the constitution to require 6% growth, 2% inflation and full employment. And all 4 foot putts are gimmes.<br>",3,2
"252","christopher udry","Yale","No Opinion","","",3,2
"253","daron acemoglu","MIT","Agree","5","But an important caveat: almost all focus has been on individual behavior, and how this affects market behavior is not always clear.<br>",4,1
"254","alberto alesina","Harvard","Strongly Agree","10","",4,1
"255","joseph altonji","Yale","Strongly Agree","8","",4,1
"256","alan auerbach","Berkeley","Agree","5","",4,1
"257","david autor","MIT","Strongly Agree","10","Is there still a debate on this question? This is the third Nobel in behavioral economics after all (Kahneman, Schiller, &amp; Thaler)!<br>",4,1
"258","katherine baicker","Chicago","Strongly Agree","4","",4,1
"259","abhijit banerjee","MIT","Strongly Agree","7","Strictly speaking the claim is that ""rational"" models cannot explain many facts without going through multiple contortions<br>",4,1
"260","marianne bertrand","Chicago","Strongly Agree","8","",4,1
"261","markus brunnermeier","Princeton","Strongly Agree","9","",4,1
"262","raj chetty","Stanford","Strongly Agree","10","",4,1
"263","judith chevalier","Yale","Strongly Agree","10","",4,1
"264","david cutler","Harvard","Strongly Agree","8","",4,1
"265","angus deaton","Princeton","Strongly Agree","9","But not all!<br>",4,1
"266","darrell duffie","Stanford","Strongly Agree","10","Abundant empirical evidence, including results of Thaler, Odean, Kahneman, Tversky, and many others. <br>",4,1
"267","aaron edlin","Berkeley","Strongly Agree","8","",4,1
"268","barry eichengreen","Berkeley","Agree","5","",4,1
"269","liran einav","Stanford","Did Not Answer","","",4,1
"270","ray fair","Yale","Agree","5","",4,1
"271","amy finkelstein","MIT","Strongly Agree","5","",4,1
"272","pinelopi goldberg","Yale","Did Not Answer","","",4,1
"273","austan goolsbee","Chicago","Agree","6","",4,1
"274","michael greenstone","Chicago","Strongly Agree","7","",4,1
"275","robert hall","Stanford","Agree","6","This type of behavior is common for isolated decisions, such as taking out a mortgage. People do better with frequently-made decisions.<br>",4,1
"276","oliver hart","Harvard","Strongly Agree","10","Real-world contracts are not as predicted by mechanism design theory. Employment contracts aren't that efficient. Fairness can explain this<br>",4,1
"277","bengt holmstrom","MIT","Strongly Agree","6","",4,1
"278","caroline hoxby","Stanford","Strongly Agree","8","",4,1
"279","hilary hoynes","Berkeley","Agree","8","",4,1
"280","kenneth judd","Stanford","Agree","4","The best example: In 1942, economists at Treasury, including Milton Friedman, used such arguments to justify income tax withholding.<br><a href=""https://fee.org/articles/wartime-origins-of-modern-income-tax-withholding/"" target=""_blank-see background information here</a><br>",4,1
"281","steven kaplan","Chicago","Strongly Agree","8","",4,1
"282","anil kashyap","Chicago","Agree","7","deciding which of these phenomena are consistently and pervasively relevant across settings is much harder, lots of free parameters<br>",4,1
"283","pete klenow","Stanford","Agree","3","<a href=""https://www.nobelprize.org/nobel_prizes/economic-sciences/laureates/2017/advanced-economicsciences2017.pdf"" target=""_blank-see background information here</a><br>",4,1
"284","jonathan levin","Stanford","Strongly Agree","6","",4,1
"285","eric maskin","Harvard","Agree","7","",4,1
"286","william nordhaus","Yale","Did Not Answer","","",4,1
"287","emmanuel saez","Berkeley","Strongly Agree","8","",4,1
"288","larry samuelson","Yale","Agree","6","Insights from psychology are important, but fully rational models still exhibit an unparalleled mix of parsimony and predictive power.<br>",4,1
"289","jose scheinkman","Princeton","Strongly Agree","8","",4,1
"290","richard schmalensee","MIT","Agree","4","",4,1
"291","carl shapiro","Berkeley","Strongly Agree","10","",4,1
"292","robert shimer","Chicago","Agree","3","Psychology insights are useful for understanding some behaviors. ""Important"" ones? Perhaps<br>",4,1
"293","richard thaler","Chicago","Strongly Agree","10","Almost chose ""uncertain"" just to mess with the organizers. <br>",4,1
"294","christopher udry","Yale","Strongly Agree","9","The evidence is strong in many cases. But generalization remains difficult because results vary so much by context. <br>",4,1
"295","daron acemoglu","MIT","Agree","6","",6,1
"296","alberto alesina","Harvard","Agree","6","",6,1
"297","joseph altonji","Yale","Agree","6","",6,1
"298","alan auerbach","Berkeley","Uncertain","5","",6,1
"299","david autor","MIT","Agree","8","I'm not aware of any evidence that says that immigration has long-run domestic costs -- though it may impose short-term adjustment costs. <br>",6,1
"300","katherine baicker","Chicago","No Opinion","","",6,1
"301","abhijit banerjee","MIT","Did Not Answer","","",6,1
"302","marianne bertrand","Chicago","Agree","4","",6,1
"303","markus brunnermeier","Princeton","Uncertain","8","Initially, costs &gt; economic benefits. Employment rate shockingly low. Long-run economic implications are uncertain. <br>",6,1
"304","raj chetty","Stanford","Did Not Answer","","",6,1
"305","judith chevalier","Yale","Agree","2","I base my response on the but-for immigration demographics in Germany, but there are many variables. <br>",6,1
"306","david cutler","Harvard","Agree","1","",6,1
"307","angus deaton","Princeton","Agree","7","Maybe by the end of the decade. The more there are, the longer it will take. All conditional on no political catastrophe in the meantime.<br>",6,1
"308","darrell duffie","Stanford","No Opinion","","",6,1
"309","aaron edlin","Berkeley","Agree","6","",6,1
"310","barry eichengreen","Berkeley","Uncertain","5","In the long run, benefits (larger labor force and more entrepreneurship) will exceed costs. In the next ten years? Assimilation takes time<br>",6,1
"311","liran einav","Stanford","Uncertain","1","",6,1
"312","ray fair","Yale","Agree","4","",6,1
"313","amy finkelstein","MIT","Uncertain","5","",6,1
"314","pinelopi goldberg","Yale","Agree","5","",6,1
"315","austan goolsbee","Chicago","Agree","3","",6,1
"316","michael greenstone","Chicago","Uncertain","4","These decisions involve much more than economics<br>",6,1
"317","robert hall","Stanford","Uncertain","3","The proposition is ambiguous whether it refers to the pre-immigration citizens, who may be indifferent, or the immigrants, who gain a lot.<br>",6,1
"318","oliver hart","Harvard","Uncertain","5","Refugees may provide labor that Germans can benefit from. But welfare transfers from Germans may be required. The net effect is ambiguous.<br>",6,1
"319","bengt holmstrom","MIT","Agree","4","",6,1
"320","caroline hoxby","Stanford","Did Not Answer","","",6,1
"321","hilary hoynes","Berkeley","Uncertain","9","",6,1
"322","kenneth judd","Stanford","Uncertain","6","The generous German welfare state will be burdened by the costs of absorbing these immigrants. E.g., they do not speak German.<br>",6,1
"323","steven kaplan","Chicago","Uncertain","7","",6,1
"324","anil kashyap","Chicago","Agree","1","low skills and lack of language will make assimilation challenging, but by the end of the decade they will probably be net contributors<br>",6,1
"325","pete klenow","Stanford","Uncertain","5","<a href=""https://www.oecd.org/migration/OECD%20Migration%20Policy%20Debates%20Numero%202.pdf"" target=""_blank-see background information here</a><br>",6,1
"326","jonathan levin","Stanford","Did Not Answer","","",6,1
"327","eric maskin","Harvard","Did Not Answer","","",6,1
"328","william nordhaus","Yale","Uncertain","5","Impacts probably small, it sign unclear on pre-arrival residents.<br>",6,1
"329","emmanuel saez","Berkeley","Agree","4","",6,1
"330","larry samuelson","Yale","Uncertain","1","Europe is aging, and so an influx of young people is potentially valuable, but much depends on how effectively they are integrated.<br>",6,1
"331","jose scheinkman","Princeton","Did Not Answer","","",6,1
"332","richard schmalensee","MIT","Disagree","3","",6,1
"333","carl shapiro","Berkeley","Did Not Answer","","",6,1
"334","robert shimer","Chicago","Uncertain","1","There are good arguments for admitting refugees, but I haven't seen evidence for this one in this case<br>",6,1
"335","richard thaler","Chicago","Agree","5","Seems most likely outcome. <br>",6,1
"336","christopher udry","Yale","Agree","7","",6,1
"337","daron acemoglu","MIT","Uncertain","7","Recent research finds negative employment effects from industrial robots. Effects of AI and more mature robotics tech could be different.<br><a href=""http://economics.mit.edu/files/12763"" target=""_blank-see background information here</a><br>",7,1
"338","alberto alesina","Harvard","Did Not Answer","","",7,1
"339","joseph altonji","Yale","Uncertain","4","",7,1
"340","alan auerbach","Berkeley","Disagree","3","",7,1
"341","david autor","MIT","Disagree","6","It's not impossible, but I'm not so far seeing the evidence that ""that this time is different.""<br>",7,1
"342","katherine baicker","Chicago","Disagree","1","",7,1
"343","abhijit banerjee","MIT","Strongly Agree","7","",7,1
"344","marianne bertrand","Chicago","Agree","3","",7,1
"345","markus brunnermeier","Princeton","Uncertain","5","",7,1
"346","raj chetty","Stanford","Did Not Answer","","",7,1
"347","judith chevalier","Yale","Did Not Answer","","",7,1
"348","david cutler","Harvard","Agree","3","",7,1
"349","angus deaton","Princeton","Agree","8","Not because it must, but because the policies needed to prevent it will not be forthcoming,.<br>",7,1
"350","darrell duffie","Stanford","No Opinion","","",7,1
"351","aaron edlin","Berkeley","Did Not Answer","","",7,1
"352","barry eichengreen","Berkeley","Disagree","6","Lots of jobs will be left requiring compassion, communication and intuition.<br>",7,1
"353","liran einav","Stanford","Uncertain","3","",7,1
"354","ray fair","Yale","Disagree","5","",7,1
"355","amy finkelstein","MIT","Uncertain","5","",7,1
"356","pinelopi goldberg","Yale","Agree","5","",7,1
"357","austan goolsbee","Chicago","Disagree","9","",7,1
