"","subject","question.x","time","n_q","question.y","id"
"11","Balanced Budget Amendment","Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.","Tuesday, November 7th, 2017 2:28 pm",2,"Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially reduce output variability in the United States.",6
"12","Balanced Budget Amendment","Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.","Tuesday, November 7th, 2017 2:28 pm",2,"Amending the Constitution to require that the federal government end each fiscal year without a deficit would substantially lower the cost of borrowing for the federal government.",7
"13","Behavioral Economics","Insights from psychology about individual behavior <U+2013> examples of which include limited rationality, low self-control, or a taste for fairness <U+2013> predict several important types of observed market outcomes that fully-rational economic models do not.","Thursday, October 19th, 2017 10:15 am",1,"Insights from psychology about individual behavior <U+2013> examples of which include limited rationality, low self-control, or a taste for fairness <U+2013> predict several important types of observed market outcomes that fully-rational economic models do not.",8
"14","Refugees in Germany","The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.","Thursday, October 12th, 2017 1:06 pm",1,"The influx of refugees into Germany beginning in the summer of 2015 will generate net economic benefits for German citizens over the succeeding decade.",9
"15","Robots and Artificial Intelligence","Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.","Tuesday, September 12th, 2017 12:56 pm",1,"Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.",10
"16","Robots and Artificial Intelligence","Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.","Tuesday, September 12th, 2017 12:56 pm",1,"Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.",11
"17","Robots and Artificial Intelligence","Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.","Tuesday, September 12th, 2017 12:56 pm",2,"Holding labor market institutions and job training fixed, rising use of robots and artificial intelligence is likely to increase substantially the number of workers in advanced countries who are unemployed for long periods.",10
"18","Robots and Artificial Intelligence","Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.","Tuesday, September 12th, 2017 12:56 pm",2,"Rising use of robots and artificial intelligence in advanced countries is likely to create benefits large enough that they could be used to compensate those workers who are substantially negatively affected for their lost wages.",11
"19","Inflation Target","If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.","Tuesday, July 11th, 2017 2:23 pm",1,"If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.",12
"20","Inflation Target","If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.","Tuesday, July 11th, 2017 2:23 pm",1,"Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.",13
"21","Inflation Target","Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.","Tuesday, July 11th, 2017 2:23 pm",2,"If the Fed changed its inflation target from 2% to 4%, the long-run costs of inflation for households would be essentially unchanged.",12
"22","Inflation Target","Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.","Tuesday, July 11th, 2017 2:23 pm",2,"Raising the inflation target to 4% would make it possible for the Fed to lower rates by a greater amount in a future recession.",13
"23","Deficits","If the US reduced its fiscal deficit, then its trade deficit would also shrink.","Wednesday, June 21st, 2017 10:21 am",1,"If the US reduced its fiscal deficit, then its trade deficit would also shrink.",14
"24","Infrastructure Spending","The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).","Tuesday, June 6th, 2017 10:06 am",1,"The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).",15
"25","Infrastructure Spending","The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).","Tuesday, June 6th, 2017 10:06 am",1,"The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.",16
"26","Infrastructure Spending","The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.","Tuesday, June 6th, 2017 10:06 am",2,"The US should increase spending now on roads, railways, bridges and airports (including new projects, maintenance or both).",15
"27","Infrastructure Spending","The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.","Tuesday, June 6th, 2017 10:06 am",2,"The advisability of increasing federal spending on roads, railways, bridges and airports is independent of whether the US also enacts tax cuts that substantially lower revenues.",16
"28","Baumol¡¯s Cost Disease","Because labor markets across different sectors are connected, rising productivity in manufacturing leads the cost of labor-intensive services <U+2014> such as education and health care <U+2014> to rise.","Tuesday, May 16th, 2017 2:13 pm",1,"Because labor markets across different sectors are connected, rising productivity in manufacturing leads the cost of labor-intensive services <U+2014> such as education and health care <U+2014> to rise.",17
"29","Tax Reforms","Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.","Tuesday, May 2nd, 2017 4:58 pm",1,"Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.",18
"30","Tax Reforms","Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.","Tuesday, May 2nd, 2017 4:58 pm",1,"The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.",19
"31","Tax Reforms","The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.","Tuesday, May 2nd, 2017 4:58 pm",2,"Since 1980, whenever substantial growth effects have been required to make a tax reform plan revenue neutral, the actual outcome has invariably been a fall in tax revenue as a share of GDP.",18
"32","Tax Reforms","The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.","Tuesday, May 2nd, 2017 4:58 pm",2,"The tax reform plan proposed by President Trump this week would likely pay for itself through higher economic growth.",19
"33","Border Adjustment Tax","Implementing a ""destination based cash flow tax (including<a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf""> border adjustment</a>)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.","Wednesday, April 12th, 2017 2:29 pm",1,"Implementing a ""destination based cash flow tax (including<a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf""> border adjustment</a>)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.",20
"34","Border Adjustment Tax","Implementing a ""destination based cash flow tax (including<a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf""> border adjustment</a>)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.","Wednesday, April 12th, 2017 2:29 pm",1,"Implementing a ¡°destination based cash flow tax (including <a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf"">border adjustment</a>)¡± of the type advocated by Speaker Ryan would substantially raise prices for US consumers.",21
"35","Border Adjustment Tax","Implementing a ¡°destination based cash flow tax (including <a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf"">border adjustment</a>)¡± of the type advocated by Speaker Ryan would substantially raise prices for US consumers.","Wednesday, April 12th, 2017 2:29 pm",2,"Implementing a ""destination based cash flow tax (including<a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf""> border adjustment</a>)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.",20
"36","Border Adjustment Tax","Implementing a ¡°destination based cash flow tax (including <a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf"">border adjustment</a>)¡± of the type advocated by Speaker Ryan would substantially raise prices for US consumers.","Wednesday, April 12th, 2017 2:29 pm",2,"Implementing a ¡°destination based cash flow tax (including <a href=""http://abetterway.speaker.gov/_assets/pdf/ABetterWay-Tax-PolicyPaper.pdf"">border adjustment</a>)¡± of the type advocated by Speaker Ryan would substantially raise prices for US consumers.",21
"37","The CBO","Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.","Tuesday, March 21st, 2017 3:42 pm",1,"Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.",22
"38","The CBO","Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.","Tuesday, March 21st, 2017 3:42 pm",1,"Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.",23
"39","The CBO","Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.","Tuesday, March 21st, 2017 3:42 pm",2,"Forecasting the effects of complex legislative actions is hard, so even competent, non-ideological and non-partisan projections could differ substantially from outcomes.",22
"40","The CBO","Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.","Tuesday, March 21st, 2017 3:42 pm",2,"Adjusting for legal restrictions on what the CBO can assume about future legislation and events, the CBO has historically issued credible forecasts of the effects of both Democratic and Republican legislative proposals.",23
"41","High-Skilled Immigrant Visas","If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.","Tuesday, February 14th, 2017 2:45 pm",1,"If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.",24
"42","High-Skilled Immigrant Visas","If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.","Tuesday, February 14th, 2017 2:45 pm",1,"If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.",25
"43","High-Skilled Immigrant Visas","If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.","Tuesday, February 14th, 2017 2:45 pm",2,"If the US significantly lowers the number of H-1B visas now, expected US tax revenues will rise materially over the next four years.",24
"44","High-Skilled Immigrant Visas","If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.","Tuesday, February 14th, 2017 2:45 pm",2,"If the US significantly lowers the number of H-1B visas now, employment for American workers will rise materially over the next four years.",25
"45","Sports Stadiums","Providing state and local subsidies to build stadiums for professional sports teams is likely to cost the relevant taxpayers more than any local economic benefits that are generated.","Tuesday, January 31st, 2017 2:19 pm",1,"Providing state and local subsidies to build stadiums for professional sports teams is likely to cost the relevant taxpayers more than any local economic benefits that are generated.",26
"46","Trump and Share Prices","US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.","Tuesday, January 17th, 2017 1:31 pm",1,"US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.",27
"47","Trump and Share Prices","US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.","Tuesday, January 17th, 2017 1:31 pm",1,"US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.",28
"48","Trump and Share Prices","US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.","Tuesday, January 17th, 2017 1:31 pm",2,"US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US after-tax corporate profits.",27
"49","Trump and Share Prices","US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.","Tuesday, January 17th, 2017 1:31 pm",2,"US share prices have risen since Donald Trump¡¯s election victory at least partly because the policies he seems poised to implement are likely to increase US real GDP growth.",28
"50","Economic Policy Advice","The Council of Economic Advisors is likely to give the US president better policy advice if the Chair and Members of the CEA have published peer-reviewed economics research.","Wednesday, December 21st, 2016 10:48 am",1,"The Council of Economic Advisors is likely to give the US president better policy advice if the Chair and Members of the CEA have published peer-reviewed economics research.",29
"51","100-Day Plan","If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s 100-day plan <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">(see link)</a> are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",1,"If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s 100-day plan <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">(see link)</a> are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.",30
"52","100-Day Plan","If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s 100-day plan <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">(see link)</a> are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",1,"If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">100-day plan </a>are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.",31
"53","100-Day Plan","If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">100-day plan </a>are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",2,"If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s 100-day plan <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">(see link)</a> are enacted, it will more likely than not improve the economic prospects of middle-class Americans over the next decade.",30
"54","100-Day Plan","If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">100-day plan </a>are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.","Wednesday, November 16th, 2016 3:17 pm",2,"If all of the ¡°Seven actions to protect American workers¡± in President-elect Trump¡¯s <a href=""https://assets.donaldjtrump.com/_landings/contract/O-TRU-102316-Contractv02.pdf"" target=""_blank"">100-day plan </a>are enacted, it will more likely than not improve the economic prospects of low-skilled Americans over the next decade.",31
"55","AT&amp;T and Time Warner","A merger of AT&amp;T and Time Warner would likely increase consumer surplus overthe ensuing decade.","Tuesday, November 8th, 2016 1:35 pm",1,"A merger of AT&amp;T and Time Warner would likely increase consumer surplus overthe ensuing decade.",32
"56","Taxes and Mandatory Spending","Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000.","Tuesday, October 25th, 2016 2:13 pm",1,"Long run fiscal sustainability in the US will require some combination of cuts in currently promised Medicare, Medicaid and Social Security benefits and/or tax increases that include higher taxes on households with incomes below $250,000.",33
"57","Import Duties","Adding new or higher import duties on products such as air conditioners, cars, and cookies <U+2014> to encourage producers to make them in the US <U+2014> would be a good idea.","Tuesday, October 4th, 2016 1:11 pm",1,"Adding new or higher import duties on products such as air conditioners, cars, and cookies <U+2014> to encourage producers to make them in the US <U+2014> would be a good idea.",34
"58","Science, Technology and Immigration","Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.","Tuesday, September 20th, 2016 10:21 am",1,"Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.",35
"59","Science, Technology and Immigration","Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.","Tuesday, September 20th, 2016 10:21 am",1,"Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.",36
"60","Science, Technology and Immigration","Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.","Tuesday, September 20th, 2016 10:21 am",2,"Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would lower (at least temporarily) the premium earned by current American workers with similar degrees.",35
"61","Science, Technology and Immigration","Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.","Tuesday, September 20th, 2016 10:21 am",2,"Allowing US-based employers to hire many more immigrants with advanced degrees in science or engineering would raise per capita income in the US over time.",36
"62","Brexit II","Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",1,"Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.",37
"63","Brexit II","Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",1,"Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.",38
"64","Brexit II","Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",2,"Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.",37
"65","Brexit II","Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.","Tuesday, July 12th, 2016 11:57 am",2,"Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.",38
"66","Universal Basic Income","Granting every American citizen over 21-years old a <a href=""http://www.aei.org/publication/a-guaranteed-income-for-every-american/"">universal basic income of $13,000 a year</a> <U+2014> financed by eliminating all transfer programs (including Social Security, Medicare, Medicaid, housing subsidies, household welfare payments, and farm and corporate subsidies) <U+2014> would be a better policy than the status quo.","Tuesday, June 28th, 2016 10:30 am",1,"Granting every American citizen over 21-years old a <a href=""http://www.aei.org/publication/a-guaranteed-income-for-every-american/"">universal basic income of $13,000 a year</a> <U+2014> financed by eliminating all transfer programs (including Social Security, Medicare, Medicaid, housing subsidies, household welfare payments, and farm and corporate subsidies) <U+2014> would be a better policy than the status quo.",39
"67","Inequality and Monetary Policy","The <a href=""http://www.igmchicago.org/wp-content/uploads/2016/06/Census_2014_Income-and-Poverty_TableA-2_HH_IncomeDisperson.pdf"">ratio of the 90th to the 10th percentile</a> of the US income distribution has been unaffected by the Federal Reserve's unconventional monetary policies since the financial crisis.","Tuesday, June 7th, 2016 11:48 am",1,"The <a href=""http://www.igmchicago.org/wp-content/uploads/2016/06/Census_2014_Income-and-Poverty_TableA-2_HH_IncomeDisperson.pdf"">ratio of the 90th to the 10th percentile</a> of the US income distribution has been unaffected by the Federal Reserve's unconventional monetary policies since the financial crisis.",40
"68","Cadillac Tax","The ¡°Cadillac tax¡± on expensive employer-provided health insurance plans will reduce costly distortions in US health care if it is allowed to take effect as scheduled in 2018.","Tuesday, May 17th, 2016 1:44 pm",1,"The ¡°Cadillac tax¡± on expensive employer-provided health insurance plans will reduce costly distortions in US health care if it is allowed to take effect as scheduled in 2018.",41
"69","Breaking Up Banks","The four largest domestic US banks currently have around 40% of the industry¡¯s domestic assets (an average of 10% each). <U+00A0>In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).<div>Capping US banks¡¯ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.</div>","Tuesday, May 3rd, 2016 2:22 pm",1,"The four largest domestic US banks currently have around 40% of the industry¡¯s domestic assets (an average of 10% each). <U+00A0>In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).<div>Capping US banks¡¯ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.</div>",42
"70","Breaking Up Banks","The four largest domestic US banks currently have around 40% of the industry¡¯s domestic assets (an average of 10% each). <U+00A0>In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).<div>Capping US banks¡¯ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.</div>","Tuesday, May 3rd, 2016 2:22 pm",1,"The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.",43
"71","Breaking Up Banks","The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.","Tuesday, May 3rd, 2016 2:22 pm",2,"The four largest domestic US banks currently have around 40% of the industry¡¯s domestic assets (an average of 10% each). <U+00A0>In early 1998, before Glass-Steagall ended and before Citicorp merged with Travelers, they held 13.2% (an average of 3.3% each). Thirty years ago, before interstate branching was fully permitted, that combined share was around 8% (an average of 2% each).<div>Capping US banks¡¯ size so that no single bank could be larger than 4% of the sector's domestic assets would lower systemic risk in the US.</div>",42
"72","Breaking Up Banks","The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.","Tuesday, May 3rd, 2016 2:22 pm",2,"The US financial system would contribute more to the average American's welfare if the size of US banks were capped so that none could be larger than 4% of the sector's domestic assets.",43
"73","Bureau of Labor Statistics","By providing important measures of US economic performance <U+2014> including employment, consumer prices, wages, job openings, time allocation in households, and productivity <U+2014> the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million.","Tuesday, April 12th, 2016 11:08 am",1,"By providing important measures of US economic performance <U+2014> including employment, consumer prices, wages, job openings, time allocation in households, and productivity <U+2014> the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million.",44
"74","Bureau of Labor Statistics","By providing important measures of US economic performance <U+2014> including employment, consumer prices, wages, job openings, time allocation in households, and productivity <U+2014> the Bureau of Labor Statistics creates social benefits that exceed its annual cost of roughly $610 million.","Tuesday, April 12th, 2016 11:08 am",1,"Cuts in BLS spending would likely involve net social costs because potential declines in the quality of data, and thus their usefulness to researchers and decision makers, would exceed any budget savings.",45
